,Unnamed: 0,Litres,PDF,Wiki,Имя,Short name,Отчество,Фамилия,Название,Ссылка,Score,Авт. Права,Дата смерти,Wiki id,Авт. права wiki
54,54,0,0,1,В.,В,А.,Жуковский,Спящая царевна,ru.wikisource.org/wiki/%D0%A1%D0%BF%D1%8F%D1%89%D0%B0%D1%8F_%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B0_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),1,0,"(24, 4, 1852)",Q157623,0
55,55,0,0,1,В.,В,А.,Жуковский,Лесной царь,ru.wikisource.org/wiki/%D0%9B%D0%B5%D1%81%D0%BD%D0%BE%D0%B9_%D1%86%D0%B0%D1%80%D1%8C_(%D0%93%D1%91%D1%82%D0%B5;_%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),1,0,"(24, 4, 1852)",Q157623,0
56,56,0,0,1,В.,В,А.,Жуковский,Перчатка,ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%80%D1%87%D0%B0%D1%82%D0%BA%D0%B0_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),1,0,"(24, 4, 1852)",Q157623,0
57,57,0,0,1,В.,В,А.,Жуковский,Сельское кладбище,"ru.wikisource.org/wiki/%D0%A1%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D0%BA%D0%BB%D0%B0%D0%B4%D0%B1%D0%B8%D1%89%D0%B5_(%D0%93%D1%80%D0%B5%D0%B9;_%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_1839)",1,0,"(24, 4, 1852)",Q157623,0
58,58,0,0,1,В.,В,А.,Жуковский,Приход весны,ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B8%D1%85%D0%BE%D0%B4_%D0%B2%D0%B5%D1%81%D0%BD%D1%8B_(%D0%96%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9),1,0,"(24, 4, 1852)",Q157623,0
59,59,0,1,1,А.,А,С.,Грибоедов,Горе от ума,ru.wikisource.org/wiki/%D0%93%D0%BE%D1%80%D0%B5_%D0%BE%D1%82_%D1%83%D0%BC%D0%B0_(%D0%93%D1%80%D0%B8%D0%B1%D0%BE%D0%B5%D0%B4%D0%BE%D0%B2),2,0,,Q25443397,1
60,60,0,0,1,А.,А,В.,Кольцов,Косарь,ru.wikisource.org/wiki/%D0%9A%D0%BE%D1%81%D0%B0%D1%80%D1%8C_(%D0%9A%D0%BE%D0%BB%D1%8C%D1%86%D0%BE%D0%B2),1,0,,Q4343016,1
61,61,0,0,1,А.,А,В.,Кольцов,Разлука,ru.wikisource.org/wiki/%D0%A0%D0%B0%D0%B7%D0%BB%D1%83%D0%BA%D0%B0_(%D0%9A%D0%BE%D0%BB%D1%8C%D1%86%D0%BE%D0%B2),1,0,,Q4343016,1
62,62,0,0,1,Е.,Е,А.,Боратынский,"Весна, весна!..","ru.wikisource.org/wiki/%D0%92%D0%B5%D1%81%D0%BD%D0%B0,_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0!..",1,1,"(11, 7, 1844)",Q364252,0
63,63,0,0,1,Е.,Е,А.,Боратынский,Чудный град,ru.wikisource.org/wiki/%D0%A7%D1%83%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B3%D1%80%D0%B0%D0%B4_%D0%BF%D0%BE%D1%80%D0%BE%D0%B9_%D1%81%D0%BE%D0%BB%D1%8C%D1%91%D1%82%D1%81%D1%8F_(%D0%91%D0%BE%D1%80%D0%B0%D1%82%D1%8B%D0%BD%D1%81%D0%BA%D0%B8%D0%B9),1,1,"(11, 7, 1844)",Q364252,0
64,64,0,0,1,А.,А,С.,Пушкин,"Повести Белкина
Метель
Станционный смотритель
Выстрел
Гробовщик
Барышня-крестьянка",ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D0%B8_%D0%91%D0%B5%D0%BB%D0%BA%D0%B8%D0%BD%D0%B0,1,0,"(29, 1, 1837)",Q7200,0
65,65,0,0,1,А.,А,С.,Пушкин,Метель,ru.wikisource.org/wiki/%D0%9C%D0%B5%D1%82%D0%B5%D0%BB%D1%8C_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD),1,0,"(29, 1, 1837)",Q7200,0
66,66,1,0,1,А.,А,С.,Пушкин,Станционный смотритель,ru.wikisource.org/wiki/%D0%A1%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,2,0,"(29, 1, 1837)",Q7200,0
67,67,0,0,1,А.,А,С.,Пушкин,Выстрел,ru.wikisource.org/wiki/%D0%92%D1%8B%D1%81%D1%82%D1%80%D0%B5%D0%BB,1,0,"(29, 1, 1837)",Q7200,0
68,68,0,0,1,А.,А,С.,Пушкин,Гробовщик,ru.wikisource.org/wiki/%D0%93%D1%80%D0%BE%D0%B1%D0%BE%D0%B2%D1%89%D0%B8%D0%BA,1,0,"(29, 1, 1837)",Q7200,0
69,69,0,0,1,А.,А,С.,Пушкин,Барышня-крестьянка,ru.wikisource.org/wiki/%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8F-%D0%BA%D1%80%D0%B5%D1%81%D1%82%D1%8C%D1%8F%D0%BD%D0%BA%D0%B0,1,0,"(29, 1, 1837)",Q7200,0
70,70,1,0,1,А.,А,С.,Пушкин,Дубровский,ru.wikisource.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,2,0,"(29, 1, 1837)",Q7200,0
71,71,1,1,1,А.,А,С.,Пушкин,Капитанская дочка,ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0,3,0,"(29, 1, 1837)",Q7200,0
72,72,0,1,1,А.,А,С.,Пушкин,Руслан и Людмила,ru.wikisource.org/wiki/%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%B8_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0,2,0,"(29, 1, 1837)",Q7200,0
